Parcel_name,CoverVP_field,SR_VP_field,EvennessVP_field,ShannonVP_field,abundance_Exper,SR_Exper,Evenness_Exper,Shannon_Exper,NMDS1_VP_field,NMDS2_VP_field,NMDS1_exper,NMDS2_exper
Brade_1,149.76,34,4.896814035471374,2.1849295708766086,183,17,5.005081452697654,2.0237154975125167,-1.1807763788044179,-0.36294940094584166,0.3629723439225559,-0.12386705741902546
Brade_2,85.521,52,15.510865317829344,3.20335397730432,5,3,2.7777777777777772,1.0549201679861442,-0.16872969605288768,-0.5597645167622662,-0.24861848356970875,0.5182601005733682
Ileana_1,79.204,75,18.168340284073604,3.338864040536724,15,5,2.4725274725274726,1.2048762065511598,-0.14719922648372627,-0.018472295023404316,-0.2697180201721939,0.17426208774039284
Ileana_2,127.912,64,8.46322934093159,2.855189561582779,9,8,7.363636363636364,2.0431918705451206,-0.29017824825799615,-0.35184596295486364,-0.051032141701055564,0.10191783828321835
Ileana_3,162.783,84,21.13552826056191,3.58791545095304,NA,NA,NA,NA,-0.2706025379557213,-0.2661267063743658,NA,NA
Ileana_4,127.841,50,11.264106059667983,2.9318242556362644,3,3,3,1.0986122886681096,-0.17137404626062103,-0.46267735779782015,0.40771082270397724,0.5261768172164856
Ileana_5,115.862,69,17.000250507955187,3.266540859051071,6,3,2.571428571428571,1.0114042647073518,0.14354342920122506,-0.23586988423776112,-0.3705571731510834,-0.058460230226935625
Ileana_6,90.443,68,17.73849395061573,3.2929471502234087,6,5,4.5,1.5607104090414063,-0.02364606081070716,0.19767980385154602,-0.23469223881542298,-0.11850289546743246
Ileana_7,76.452,75,30.12210463153718,3.716852753654735,2,2,2,0.6931471805599453,-0.08422983915871132,-0.1716206613082423,0.8093480729957836,-0.5025402382903112
Ileana_8,98.774,37,8.830341908689022,2.403491480545815,6,2,1.7999999999999998,0.6365141682948128,1.0676260774922666,-0.22485033185194653,-0.08416389261830735,0.9178259952788992
Leo_1,135.4,72,16.99162058032185,3.314357859011802,NA,NA,NA,NA,0.4700270069805904,-0.10078804565195008,NA,NA
Leo_10,79.751,57,12.893984108325991,3.099448227389977,4,3,2.6666666666666665,1.0397207708399179,0.015847868779333547,-0.36089639430060144,0.0018229735879464989,-0.6003729378380045
Leo_2,68.386,70,10.719100498303876,3.0362215170257216,6,2,2,0.6931471805599453,0.5715898924346119,-0.12149635043648217,0.05868695868782905,-0.7209742671985057
Leo_3,89.856,60,12.832725519948005,3.0232464312645826,22,7,4.101694915254237,1.6405028000622162,0.05222401343217317,0.3570296042224665,-0.16992468780029094,-0.06398468219897152
Leo_4,53.033,63,17.71091764856393,3.3154650675554502,49,8,4.950515463917526,1.7638834176528864,-0.23716865870011974,-0.1776111171525028,0.058964686468851314,-0.20125125387482853
Leo_5,70.481,80,29.74223169364395,3.70885320198989,34,9,4.25,1.7790314667195524,0.03356790872147595,0.14700630709016935,0.13767328791500416,0.1728050875015054
Leo_6,101.643,72,10.664013106816306,3.039516366446619,NA,NA,NA,NA,0.4677177222002103,0.2527478163106894,NA,NA
Leo_7,65.333,30,7.068231115735565,2.3391809094139457,7,3,2.3333333333333335,0.9556998911125343,1.194288818617447,0.18591387238695464,-0.19097275851400963,-0.47319820981944594
Leo_8,99.821,61,19.468493625274817,3.365715786839436,NA,NA,NA,NA,0.41657802497756696,-0.080511789918626,NA,NA
Leo_9,66.889,60,6.2811161348238445,2.425910002023489,7,5,3.7692307692307696,1.4750763110546947,0.819118973445551,0.3473500565265472,-0.7963547599094641,-0.18357032833676476
Nelu_1,107.143,47,9.074008419959219,2.7153040509366946,4,3,2.6666666666666665,1.0397207708399179,-0.8987174809612695,0.5110427195249686,-0.4563469695281805,0.0949601430232391
Nelu_2,97.542,53,10.035795287644362,2.970004802746011,5,3,2.7777777777777772,1.0549201679861442,-0.3305931400093254,0.37627805815999493,1.1807869965007889,0.3183199027803635
Nelu_3,109.302,65,17.792727929726034,3.4401548821426435,NA,NA,NA,NA,0.21256693573769778,-0.21991569467655142,NA,NA
Nelu_4,121.013,66,13.309229117649187,3.1733680734887417,NA,NA,NA,NA,0.20151867905084164,-0.6751318266639672,NA,NA
Nelu_5,184.532,62,15.022545467343386,3.1075735157151465,30,3,2.272727272727273,0.9502705392332347,-0.699209035826322,0.16711723352443322,-0.48455541509388916,-0.007112118296455347
Nelu_6,116.93,59,17.63503580437407,3.2542003065120206,9,4,3.857142857142857,1.3689223607402192,0.45821997020332234,-0.19695534020598945,0.25172505766983055,0.5680005396234891
Nelu_7,93.054,62,16.745384792740406,3.2064844809704094,NA,NA,NA,NA,0.2195525667580407,0.04865330057549492,NA,NA
Sabina_1,87.306,66,18.936402447516254,3.202395823009148,2,1,1,0,0.16099611781393383,0.5443462742332623,-0.7393985331760282,0.20537328554298653
Sabina_10,123.47,46,7.995730303641093,2.6055351862891616,9,6,4.764705882352941,1.6769877743224173,0.14968726820505915,0.45269802866007597,0.3974654064115505,0.38269537862628017
