Parcel_name,Farm,Plant_SR_vascular,habitat_corrected,Management_stability,Grazing_intensity_A,Grazing_intensity_B,Grazer_type,Grazing_season,Grazing_type,Mowing_frequency,Mowing_delay,Mowing_method,Manuring_freq,Dung_cover,Cow_dung_applied,Cleaning,Litter_removal,Shrub_tree_removal,Moss_removal,Last_ploughing,Anthill_leveling,Molehill_leveling,Corralling,Burning,humus,soil_CN,soil_P_acces,soil_K_acces
Farm_A_1,V,47,pasture,30,30,1.8,cow,Whole season,fencing,0,no mowing,no,0,0,absent,regular,no,yes,yes,30,yes,yes,1,yes,5.52,5.918557268,9.13,98.2
Farm_A_2,V,82,pasture,25,30,1.8,cow,Whole season,fencing,0,no mowing,no,0,0,absent,regular,yes,yes,yes,30,yes,yes,0,yes,5.63,6.267218828,2.07,132.3
Farm_A_3,V,66,meadow,50,15,0.45,cow,Autumn,free,1,June,T,0.3,0,present,regular,yes,yes,yes,60,yes,yes,0,yes,6.88,7.212893841,1.55,105
Farm_A_4,V,63,meadow,5,15,0.15,cow,Autumn,free,2,June,T,1,8,present,no,no,no,no,5,no,no,0,yes,9.99,6.763461648,4.09,348.8
Farm_A_5,V,43,meadow,5,15,0.15,cow,Autumn,free,3,June,T,0.3,1,present,regular,no,yes,yes,5,yes,yes,1,yes,13.34,7.088758656,4,683.7
Farm_A_6,V,63,meadow,5,15,0.15,cow,Autumn,free,1,June,T,0,0,absent,regular,yes,yes,yes,20,yes,yes,1,yes,12.38,7.548178094,2.1,283.6
Farm_A_7,V,49,pasture,5,50,4.5,cow,Whole season,fencing,0,no mowing,no,0,0,absent,regular,no,yes,yes,60,yes,yes,0,yes,12.08,7.52844903,3.66,142.8
Farm_A_8,V,74,pasture,28,30,2.7,cow,Whole season,fencing,0,no mowing,no,0,0,absent,regular,yes,yes,yes,60,yes,yes,0,yes,9.89,7.002461399,2.2,105.9
Communal_1,C,40,pasture,50,975,58.5,sheep_goat,Whole season,herding,0,no mowing,no,0,0,absent,irregular,yes,yes,yes,60,yes,yes,0,no,11.39,6.794914024,2.1,140.5
Farm_A_10,V,72,meadow,50,15,0.45,cow,Autumn,free,1,July-August,T,0,0,absent,regular,yes,yes,yes,60,yes,yes,0,yes,12.36,7.375479553,1.47,306.8
Farm_A_13,V,64,meadow,10,15,0.3,cow,Autumn,free,1,June,T,0.5,0,present,regular,no,yes,no,10,yes,yes,0,no,11.87,6.69903515,2.42,381.2
Farm_B_1,I,75,meadow,25,15,0.3,cow,Autumn,free,1,June,T,1,8,present,regular,yes,yes,no,25,yes,yes,0,yes,8.87,7.231899978,2.38,120.1
Farm_B_2,I,64,pasture,15,50,3,cow,Whole season,fencing,0,no mowing,no,0,0,absent,regular,yes,yes,no,60,yes,yes,0,yes,6.63,6.675115643,2.25,79.4
Farm_B_3,I,84,meadow,25,15,0.3,cow,Autumn,free,1,July-August,M_T,0,0,absent,regular,yes,yes,no,25,yes,yes,0,yes,7.43,7.240514035,3.79,131.7
