Response,Predictor,Estimate,Std.Error,DF,Crit.Value,P.Value,Std.Estimate,
Plant_SR_field,Plant_abundance_exper,0.006,0.0028,33,2.1276,0.0334,0.3344,*
Plant_SR_field,Plant_SR_exper_log,-0.0896,0.057,33,-1.5709,0.1162,-0.3156,
Plant_SR_field,Grazing_int_log,-0.0808,0.0213,33,-3.7913,1e-4,-0.6281,***
Plant_SR_field,Mowing_frequency,-0.0979,0.0678,33,-1.4447,0.1485,-0.3947,
Plant_SR_field,Mowing_frq_sqrd,-0.0175,0.0315,33,-0.5549,0.579,-0.1187,
Plant_SR_field,Manuring_freq,0.0535,0.0902,33,0.5936,0.5528,0.1037,
Plant_SR_field,humus_log,0.3426,0.1054,33,3.2519,0.0011,0.5738,**
Plant_SR_field,soil_NPK,-0.0683,0.0347,33,-1.966,0.0493,-0.3652,*
Plant_SR_exper_log,Grazing_int_log,-0.0332,0.086,30,-0.3866,0.7018,-0.0733,
Plant_SR_exper_log,Manuring_freq,-0.3734,0.3448,30,-1.083,0.2875,-0.2052,
Plant_abundance_exper,Grazing_int_log,0.0085,0.136,33,0.0624,0.9502,0.0139,
Plant_abundance_exper,Manuring_freq,-0.0827,0.4977,33,-0.1661,0.8681,-0.0338,
humus_log,Grazing_int_log,0.0802,0.0439,29,1.8269,0.078,0.3719,
humus_log,Mowing_frequency,0.1604,0.1049,29,1.5288,0.1372,0.3863,
humus_log,Manuring_freq,-0.0147,0.1965,29,-0.0749,0.9408,-0.017,
soil_NPK,Grazing_int_log,0.1296,0.1427,29,0.9079,0.3714,0.1882,
soil_NPK,Mowing_frequency,0.5577,0.3414,29,1.6337,0.1131,0.4203,
soil_NPK,Manuring_freq,-0.2328,0.6392,29,-0.3643,0.7183,-0.0843,
~~Mowing_frequency,~~Mowing_frq_sqrd,0.5872,-,31,4.039,3e-4,0.5872,***
~~Plant_abundance_exper,~~Plant_SR_exper_log,0.8784,-,33,10.0679,0,0.8784,***
~~humus_log,~~soil_NPK,0.669,-,33,4.9297,0,0.669,***
