Response,Predictor,Estimate,Std.Error,DF,Crit.Value,P.Value,Std.Estimate,
Plant_SR_vascular,abundance_Exper,0.0061,0.0028,33,2.1278,0.0334,0.3345,*
Plant_SR_vascular,SR_Exper_log,-0.0896,0.057,33,-1.5714,0.1161,-0.3157,
Plant_SR_vascular,Grazing_int_log,-0.0808,0.0213,33,-3.791,2e-4,-0.6281,***
Plant_SR_vascular,Mowing_frequency,-0.0979,0.0678,33,-1.4448,0.1485,-0.3947,
Plant_SR_vascular,Mowing_frq_sqrd,-0.0175,0.0315,33,-0.5546,0.5792,-0.1186,
Plant_SR_vascular,Manuring_freq,0.0535,0.0902,33,0.5937,0.5527,0.1037,
Plant_SR_vascular,humus_log,0.3426,0.1054,33,3.2518,0.0011,0.5738,**
Plant_SR_vascular,PC1_soil_2,0.0683,0.0347,33,1.9658,0.0493,0.3652,*
SR_Exper_log,Grazing_int_log,-0.0387,0.0873,9.3201,-0.4435,0.6676,-0.0854,
SR_Exper_log,Manuring_freq,-0.4232,0.3476,28.1898,-1.2177,0.2334,-0.2326,
SR_Exper_log,PC1_soil_2,-0.1306,0.1185,28.7398,-1.1019,0.2797,-0.1983,
abundance_Exper,Grazing_int_log,0.0053,0.1363,33,0.0392,0.9687,0.0101,
abundance_Exper,Manuring_freq,-0.0522,0.5122,33,-0.102,0.9188,-0.0248,
abundance_Exper,PC1_soil_2,0.0452,0.1913,33,0.2362,0.8132,0.0592,
humus_log,Grazing_int_log,0.0802,0.0439,29,1.8269,0.078,0.3719,
humus_log,Mowing_frequency,0.1604,0.1049,29,1.5288,0.1372,0.3863,
humus_log,Manuring_freq,-0.0147,0.1965,29,-0.0749,0.9408,-0.017,
PC1_soil_2,Grazing_int_log,-0.1296,0.1427,29,-0.9079,0.3714,-0.1882,
PC1_soil_2,Mowing_frequency,-0.5577,0.3414,29,-1.6337,0.1131,-0.4203,
PC1_soil_2,Manuring_freq,0.2328,0.6392,29,0.3643,0.7183,0.0843,
~~Mowing_frequency,~~Mowing_frq_sqrd,0.5872,-,31,4.039,3e-4,0.5872,***
~~abundance_Exper,~~SR_Exper_log,0.8837,-,33,10.3406,0,0.8837,***
~~humus_log,~~PC1_soil_2,-0.669,-,33,-4.9297,0,-0.669,***
