species,abbreviation,parcel_number,fraction
Plantago lanceolata,Plan.lan,44,100
Achillea millefolium aggr.,Achi.mil,43,98
Lotus corniculatus,Lotu.cor,41,93
Anthoxanthum odoratum,Anth.odo,38,86
Carex caryophyllea,Care.car,38,86
Centaurea phrygia aggr.,Cent.phr,37,84
Knautia arvensis,Knau.arv,37,84
Luzula campestris,Luzu.cam,37,84
Briza media,Briz.med,36,82
Festuca stricta subsp. sulcata,Fest.str,35,80
Filipendula vulgaris,Fili.vul,35,80
Dactylis glomerata,Dact.glo,34,77
Leucanthemum vulgare aggr.,Leuc.vul,34,77
Agrostis capillaris,Agro.cap,32,73
Cerastium fontanum subsp. vulgare,Cera.fon,32,73
Thymus pulegioides subsp. pulegioides,Thym.pul,32,73
Trifolium pratense,Trif.pra,32,73
Cynosurus cristatus,Cyno.cri,31,70
Sanguisorba minor,Sang.min,29,66
Scabiosa ochroleuca,Scab.och,29,66
Leontodon hispidus subsp. hastilis,Leon.his,28,64
Pimpinella saxifraga,Pimp.sax,28,64
Ranunculus bulbosus,Ranu.bul,28,64
Cruciata glabra,Cruc.gla,27,61
Festuca rubra,Fest.rub,27,61
Galium verum,Gali.ver,27,61
Prunella vulgaris,Prun.vul,27,61
Trifolium repens,Trif.rep,27,61
Plantago media,Plan.med,26,59
Trifolium montanum,Trif.mon,26,59
Veronica chamaedrys,Vero.cha,26,59
Viola hirta,Viol.hir,26,59
Danthonia alpina,Dant.alp,25,57
Leontodon hispidus subsp. hispidus,Leon.his,25,57
Linum catharticum,Linu.cat,25,57
Pilosella officinarum,Pilo.off,25,57
Polygala comosa,Poly.com,25,57
Ranunculus polyanthemos,Ranu.pol,25,57
Tragopogon pratensis subsp. orientalis,Trag.pra,25,57
Centaurea scabiosa,Cent.sca,24,55
Holcus lanatus,Holc.lan,24,55
Securigera varia,Secu.var,24,55
Stachys officinalis,Stac.off,24,55
Prunella laciniata,Prun.lac,23,52
Stellaria graminea,Stel.gra,23,52
Carex montana,Care.mon,21,48
Primula veris,Prim.ver,21,48
Schedonorus pratensis,Sche.pra,21,48
Trisetum flavescens,Tris.fla,21,48
Dianthus carthusianorum,Dian.car,20,45
Medicago lupulina,Medi.lup,20,45
Potentilla erecta,Pote.ere,20,45
